,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
1,F: 100% RE 2050 Mandate,2020,$25k-$50k,0.9903548532420332,0.8981430011808392,0.7630042111126
2,F: 100% RE 2050 Mandate,2020,$50k-$75k,0.9293067326726454,0.8931149473652832,0.7423032699606986
3,F: 100% RE 2050 Mandate,2020,$75k-$100k,0.8474453607741266,0.9016490547782754,0.6495931212402976
4,F: 100% RE 2050 Mandate,2020,$100k-$125k,0.8639220990677143,0.9701549663883223,0.6029920538190957
5,F: 100% RE 2050 Mandate,2020,$125k-$150k,0.9837233034862789,1.066910397385551,0.6356716695973829
6,F: 100% RE 2050 Mandate,2020,>$150k,0.9372179137904408,1.1027529491050254,0.5425255160526609
0,F: 100% RE 2050 Mandate,2026,<$25k,0.8135840097447428,0.8355027183582933,0.6757547300870973
1,F: 100% RE 2050 Mandate,2026,$25k-$50k,0.7901838995874114,0.7139558637663878,0.6012822453353233
2,F: 100% RE 2050 Mandate,2026,$50k-$75k,0.724110649473652,0.700850346905639,0.5743421394634394
3,F: 100% RE 2050 Mandate,2026,$75k-$100k,0.6416850540137028,0.6948771119827825,0.48183703485789287
4,F: 100% RE 2050 Mandate,2026,$100k-$125k,0.6358568730485304,0.7353485894828369,0.420098176068512
