,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure,,,
5,G: Low Carbon 2035 Mandate,2040,Non-Latinx White,0.017617253,0.057814163,0.006050289,,,
0,G: Low Carbon 2035 Mandate,2045,Total,0.015704025,0.05295162,0.00544073,,,
1,G: Low Carbon 2035 Mandate,2045,Black,0.021189339,0.073997797,0.007006417,,,
2,G: Low Carbon 2035 Mandate,2045,Asian,0.015470455,0.056875777,0.006059257,,,
3,G: Low Carbon 2035 Mandate,2045,Latinx/Hispanic,0.018269684,0.064270837,0.007664485,,,
4,G: Low Carbon 2035 Mandate,2045,Indigenous,0.01167536,0.037128808,0.003727552,,,
5,G: Low Carbon 2035 Mandate,2045,Non-Latinx White,0.016450667,0.054407991,0.005592439,,,
0,G: Low Carbon 2035 Mandate,2050,Total,0.014643667,0.049159277,0.005085687,,,
1,G: Low Carbon 2035 Mandate,2050,Black,0.019626532,0.068551036,0.006450083,,,
2,G: Low Carbon 2035 Mandate,2050,Asian,0.014454047,0.052785965,0.005740435,,,
3,G: Low Carbon 2035 Mandate,2050,Latinx/Hispanic,0.016952113,0.059237245,0.007203197,,,
